review_ID,review_name,reviewers_name,review_rating,review_date,review_text,pos_neg
R2MJGJWKOWTAP5, Wicked comfy,Chessie,5,13-Jul-19,"Super comfortable for back and side/belly sleepers. My husband sleeps like a rockstar that is just this side of an OD. As soon as his head hits this pillow he's down for the count and I don't even need headphones for my YouTube rabbit holes I go down because my brain doesn't always say sleep is cool.
Once I do sleep, I'm a flipper. Dozens of times a night, and this pillow accommodates all positions.",positive
R2VYF9GK4DFNCC, pleasent dreams after all,Phil,4,2-May-17,"Great pillow. Bought this at a great price thinking if I didn't like it I'd use them in the guest room. Surprise, the pillows are very comfortable. The gusseted edge adds support that I haven't had with other pillows. After about a week the change from our old pillows is strikingly positive. Great price, good constuction, pleased so far. Would buy again.",positive
R3EELHXM1YMPK2, Two Per Package; Shrinkwrapped,Ms. Martin,3,19-Nov-18,"First, these come in a two pack. So ordering one gets you two pillows. Maybe I overlooked that in the description but I ended up with four pillows. Not a big issue, since switching pillows is my thing.
Second, they come shrink wrapped into the smallest package imaginable. About the size of a set of sheets. Then they come out flat and you need to “leave them in the sun for 48 hours. What? My son and his wife won’t be here for 48 hours so we’ll see if the pancake pillows fluff up and stay fluffy!",neutral
R25E7C3UPVE3RJ, Hot Pillow,Emily,3,5-Aug-19,"Pillow buying online is difficult because you are choosing a pillow based on product descriptions and customer reviews. I prefer a Firm, Supportive, Stay Cool pillow. These pillows were delivered in great packaging. Are firm but soft and give you great support BUT they do not stay cool. They get so hot it is not comfortable to sleep on them. They are now in the decorative pillow shams that no one uses.",neutral
RLX51X5KIFJ2, WORST PILLOWS DO NOT BUY,Vernell Taylor,1,14-Jul-20,"This by far is the worst pillow that I've ever slept on I've took several pictures you sleep on it one night and the next night all of the inside of the pillow is pushed to one side and you can't straighten it out it's the worst quality the worst product please do not buy this pillow I've taken enough pictures to show you the poor quality and the poor make of this pillow I don't know who wrote those reviews prior cuz I read the reviews and they said that they were good but some of them said that they were good not all but the ones that I did read I should have kept reading
I've also taken pictures of it in the pillow case and the pillow looks all twisted up and looks deformed
I'm so disappointed in this pillow
I just hope that this will help someone else reading these reviews DO NOT BUY this pillow this company ought to be ashamed of yourself for selling pillows that look like it could have been sold at the thrift store this is ridiculous
and I have rheumatoid arthritis and osteoarthritis and this just makes my pain even worse I'M SO DISAPPOINTED",negative
R1UODFRU1CO21B, Sore neck/ headaches resolved!!!,Joe B,5,27-Sep-16,"Fantastic deal. Been having headaches from neck issues for months. Tried 4 different types of pillows to no avail. Within one week of using this my sleep had completely changed. No more tweaked neck, or headaches at all. I sleep much better. Am still amazed after 1 month of how much it changed my sleep for the better. Highly recommended.",positive
R3HCYV9MD57V20, What a goose-down pillows!,Eliiii,1,12-Jan-20,"Despite the description on the product page, I somehow purchased goose down pillows. A foam- or cotton-filled pillows are what was on my radar to buy. It must’ve been a total impulse buy. I received them and I didn’t even open the package when I noticed bird feathers sticking out of the pillowcase. Have any of you slept with a goose-down pillow? I’ve had personal experience with them before this Amazon purchase. They’re comfortable,ehh. Until one of the feather shafts sticking out of the pillow pokes you in the face or any other body part! It’s a bit like a mini-torture game....that I’d prefer not to repeat, ever! The company did give me a refund, no questIons asked. Thanks.",negative
RXI41LBQBS4F4, Nasty!,Madria Maddox,1,11-Jun-20,"Today, I received my order of a 2-pk. 1 was fine, the other not so much. This second pillow is still in its vacuum seal and as you can see, both sides are moldy and disgusting! I am not happy at all. How could anyone ship this out?",negative
R2CUUQQEWZ5ZGI, Might have been fine if there hadn't been a ~4 inch gash long ...,Robert W.,1,3-Jun-17,"Might have been fine if there hadn't been a ~4 inch gash long the side of the first pillow, showing the stuffing. Didn't bother opening the second pillow since it is being returned.",negative
R278P56PO50HDT, Soft with a firm center,Applewhite Minyard,5,24-Jan-18,"Very good. I was hesitant to purchase pillows online without having felt them, but even when buying in person it is difficult to judge how a pillow will feel under your head on the bed at night. My previous pillows were satisfactory, but too small for my queen sized bed. These are the right size to fill the space and the pillowcases, and the quality seemed good in the description. The reality is that they are much better than I imagined. They are somewhat ""puffy,"" but they are also soft and resilient, so that when you lay your head on them, they collapse down, but not too much. They offer support and softness simultaneously, making them, in my opinion, the ideal bed pillow.",positive
R2KRT1KRT0U8KZ, They are fine. They are pillows.,Bean,5,18-Dec-21,"Nothing special, but in a good way. These pillows are a cheap way to make houseguests feel welcome for 24 hours. These aren't garbage pillows that will make your guests resent you, and they aren't so comfortable that anyone will steal them or start an awkward conversation about where you got them. These are the beige Ford Taurus of pillows.

***I rely on people's reviews when making my own purchases on Amazon. Because of this I try to leave a review on every item I purchase for the benefit of others. Please take the time to click ""helpful"" below this review if you found this useful, thanks!***",positive
R6DOVEG8Q3MD8, Very Comfortable and Great Fluff to it,Monica Hough,5,18-Jun-17,"I ordered two of the queen and two of the standard. They were sealed well air tight and as soon as I opened them up they fluffed right up. Later that evening I put cases on and used them to sleep. My husband said he loved these. I really like how your head doesn't sink into it, leaving it flat below your head like some pillows. While I really love a down pillow, these keep their fluff and provide more support. Very comfortable and looks good on the bed. Not warped looking.",positive
R5BYBI6173VUX, Great Pillows!,Sam,5,26-Aug-19,"After using a few months I am happy to report that these are great sleeping pillows. Am sidesleeper and like how they are not too firm and nestle my head. They do not go flat either, as I had read in some reviews. Great price for two super pillows.",positive
RJXQSTAUQ5AX2, Buyer Beware! (Read my comments!),Amazon Customer,1,14-Feb-21,"1. These pillows do not look nearly as fluffy as in the picture (not as advertised)
2. They sink and go flat offering no support (ouch neck pain)
3. Looking at older reviews it seems the pillows have changed, look for more recent reviews for an accurate description of these ‘new’ pillows
4. They look nice in the pillow shams but if you try to actually sleep on it as a side sleeper you will wake up with upper back/neck pain
Buyer beware!",negative
RJI8S61OUFJ6J, Piece of crap,me,1,13-Nov-17,"I bought because they had a high rating. I guess the users giving these pillows a high rating were high. Flimsy, thin, worst pillows I've bought on Amazon. I've bought pillows at dollar stores of the same quality and I've seen pet beds made better than this. I can only say they're clean and new, and possibly the pets will take residence on them.",negative
R10YS69WIOX6FO, Not bad but I've had better. ...that's what she said!,Anna,3,1-Jun-20,"I've had these pillows for a year and a half now. They haven't been bad pillows for the first year. The first week was tough because they were *too* fluffy. They finally settled down. After about 6 months my husband was finally happy with his. However the stitching came undone in his and there was pillow stuffing everywhere, so it became customizable for him until I stitched it closed.
My pillow, after about 15 months became extremely lumpy, seemingly overnight. I had to wash it due to pink eye and the dryer couldn't even refluff it. It feels like a bag of giant pom pom balls. The stuffing shifts sound like crazy too. One side of the pillow is flat, the other side too thick. I've tried everything I could think of.
Now I don't really know the life span of a pillow but I do know I've had the cheap Serta cooling pillows from Walmart last much longer, even with washing and drying multiple times.",neutral
R36CKR0YOYUK0A, If you thought pillows were insignificant..,H. Fouts,5,30-Mar-20,"These are the most luxurious pillows I have ever touched...better than any hotel I have stayed in. When I opened the rather small box these arrived in, I was a bit disappointed thinking how unsatisfying these would probably be. They are packed two in a box but wrapped separately folded in half. So they are smooshed down pretty well and it seems impossible they will grow to be ""real"" pillows. The instructions show various ways to ""fluff"" them up: either in the sun, by hand, etc. In the amount of time it took me to read the instructions after I opened the pillows, they were already fluffing up a bit on their own. So I put the pillow cases on them and laid them on the bed. 10 minutes later I came back and they seemed to be fully ""fluffed"" and beautiful. More than I imagined or anticipated.
They are very ""cool"" in that no matter where you lay your head they are very cool to the touch and very supportive and almost ""firm"" but not too much. I can fold them around and puff them up in various ways and they respond nicely. Inside the pillow case on my bed they just seem huge because there is so much of them. So fluffy. But when you lay down on it, it responds entirely to the weight and pressure of whatever body part is on them and they are SO comfortable. Full but soft. Firm but relaxed. And then POOF they fluff back up to such a full pretty size. It makes me want to jump back into bed just to lay on the pillows.
I bought two Queen size and two King size and used them a lot over the weekend watching movies, reading a book, napping, etc. and right now they look like no one has touched them since I opened the package. So pleased.
I never thought pillows were so significant...just no big deal...but I was wrong.",positive
R2BI48I5PM3K8M," If a cloud was a bodybuilder, it would be this pillow",Rod Rhaspy,5,26-Aug-20,"This pillow causes slight coma

So if you have things to do, don’t buy this pillow

It’s instant sleep",positive
RDM9QURL3C4A9, This was probably the best purchase of my entire life,Chris,5,4-Oct-19,These were the first brand new pillows I ever had (growing up I just got hand me downs). . These pillows are soft enough that it's comfortable to sleep on but firm enough that it holds my head high enough to where I'm comfortable.,positive
R3CUGX09V2RMSJ," Perfect for back, side or stomach sleepers. Nice quality!",Anony,5,25-Jun-18,"Initially I purchased these pillows to go in my dogs crate. He’s small and dainty and these seemed like they’d be the perfect size for him. I was all set to put his doggie pillowcase on one of them and that’s when I realized the dog was getting a pillow off my bed and I was taking these new pillows for myself! They are really nice for the price!! I’m all over the place when I sleep; side, back, stomach . . . and in all of those positions these pillows are super comfy. They are supportive, fluffy without being smushy, firm without being too stiff. Here’s the lowdown in pillowcases. They fit in standard pillowcases that come with twin sheet sets and they also work nicely with queen pillowcases. My King size pillowcases are too long but I tucked the extra length down inside the pillowcase and the width was perfect. I came back to order a second pair for our guest room! I washed and dried them after I was sick (to kill the cooties) and they laundered beautifully. Nothing but positive experiences with these pillows. Maybe one day my dog will get one of these pillows for himself but for now he’s sleeping on a queen size My Pillow so don’t feel sorry for him. Yes, I gave up a My Pillow for these. They’re a lot more comfortable!",positive
RU23CBK8B3Z2J, Good but not perfect.,Jonny J.,4,19-Dec-20,Good pillows for the price. I am very picky when it comes to anything I buy and demand value for my dollar. These are not perfect by any means but $27 for two king size pillows...not bad. They form nice to my body as I'm mostly a side sleeper. I bit puffier in initial form than I prefer but they collapse nicely and do not have an instant springback which can be annoying. They are extremely big and barely fit into the pillow cases. They are a decent down alternative and have good support..maybe just a tad too much for my liking but again I'm picky. I've read other reviews before purchasing these and I can see what others mean about the stitching. It looks flawed in many spots and I could see where quality control could be an issue however I've had no issues with my set. If your expecting luxury for $27 look elsewhere...but for the money you'll have a tough time finding better.,positive
R3RJ1LQB8229CT, Somewhat disappointed side sleeper,Amazon Customer,4,17-Aug-20,I’m a side sleeper who prefers two pillows but they always end up flat and uncomfortable. Last summer I bought a memory foam pillow which was super soft yet firm but not quit the right height so I gave it to my bf. Based off other reviews this seemed like a similar pillow but just right for side sleepers. Unfortunately while this pillow is soft yet somewhat firm reminding me of a down pillow it is not quite what I was looking for. One pillow was definitely not enough support for sleeping on my side so I decided to go with two which had me awake after a few hours with neck pain. I tossed and turned most of the night trying to figure out exactly how to get the pillows just right. Finally I decided one using an old flat pillow and one of these pillows to meet my Goldilocks standards. I just wish it was easier to find the right pillow,positive
R2NHKKX1Z2TD5J, Loud filling,Nth,3,31-Jan-21,"I had bought these pillows previously and they were good. I decided when opening up one of my spare rooms as a guest room that I wanted to order some more. The product has changed and this new model contains some of the loudest polyfill down alternative I've ever experienced in my life. You can literally hear it expand and collapse. You can hear it slowly crunching beneath the weight of your head.
It's still fluffy yet firm enough to support the space between your legs when laying on your side. From there you can barely hear the material inside.",neutral
R4691FBZAGPG1, Not happy at all.,Kristen M.,1,5-Mar-20,I ordered a queen size pillow it’s marked as a queen size pillow but I got a standard size pillow. Plus the video says to open it with a pair scissors but on the instructions that came with the pillow it says do not use scissors. I’m very dissatisfied. I was expecting a queen size pillow and I got a standard size pillow I’m very unhappy I do not recommend. I ordered a queen size pillow it’s marked as a queen size pillow but I got a standard size pillow. Plus the video says to open it with a pair scissors but on the instructions that came with the pillow it says do not use scissors. I’m very dissatisfied. I was expecting a queen size pillow and I got a standard size pillow I’m very unhappy I do not recommend I would really like a queen size pillow. I wash the pillow twice now and on the second time I washed it this is how I open my washer and found it I’m so very unhappy.,negative
RRJDIF7ZT0MAZ, VERY NICE PILLOWS,SPARROW,5,21-Jan-21,"I am very happy with my purchase. I received the pillows in perfect condition and they were very well packaged. I was pleasantly surprised that they are very decent pillows for such a low price. They are not premium pillows, but who would expect premium at this price. The pillows are not firm, but I found them sufficiently supportive and do not bottom out. After allowing them to expand for a couple of hours, I put them in the dryer for 5 or so minutes and they completely puffed-up. I slept on them for one night so far and they are comfortable and exceeded my expectations. I understand from the reviews, when they eventually flatten, which i expect they will, just put them in the dryer with or without tennis balls and they will puff-up again. You will only be disappointed if you are expecting a very supportive, firm, substantial premium pillow. For that , you will need to pay a premium price.",positive
RL5MPA5I5WW38, Not as described by manufacturer. Looks are deceiving!,HappyMom,2,26-Aug-21,"Make sure to look at the pictures from reviewers to make sure you know what you are getting. And second, do not believe anyone who says that these pillows are supportive and somewhat firm. They come sealed and pressed to about a 1-inch flat thickness. You then have to ""fluff"" them back up yourself. The pillow does fluff up (and looks nice), but looks are deceiving! Once you put any weight or pressure on the pillow it sinks back down to nothing. It is like sleeping on a very few and very old down feathers that have lost their ""mojo."" I ended up using them in shams mostly for decoration on a daybed (and why I gave them a 2 rating) and would never expect anyone to use them for sleeping (perhaps piled on top of one another so they would then get 2 inches of pillow depth).
UPDATE: Whatever the filling is keeps ""seeping"" out of the pillows, even though they are not really being used, and it seems to get everywhere. We ended up bagging the pillows and are now wondering if we should just toss. Hubby did manage to get them flattened some to fit into the zippered plastic storage thing. Maybe will give these to someone who has a dog or cat. But then, who would want to have to clean up even more ""fluff"" in their home?",negative
R3HRIOS18TUK5N, Great for Side Sleepers!,April K,5,12-Jul-19,"I was surprised it had arrived in such a small pack. After opening and letting the pillows fill out, They were easily fluffed and perfect for side lying sleeping. Loving them so far, going to order a second set",positive
R64642MQR72U8, Used to love!,Kimberly Brannon,3,31-Jan-21,"Which pillow is the new one? The left.

I have been owning this brand of pillows for at least 3-4 years. I have sold my friends and family for no less than 15-20 orders.

My personal pillows just wore out. I am totally happy for what I got for what I paid. You just need new pillows every few years.

Broke down and got a new pair. So excited for them to come in. I actually found clean tennis balls to fluff them in my dryer.

After almost 72 hours, my husband’s new pillow looks sad against my old pillow. I will say that I have slept on my new one now two nights. I’m not unhappy, but this is a much more flat pillow. If you like a thin firm pillow you may like.

So while I don’t hate. They just are not the same pillow I bought at least personally 5 times. Wish they were like the original!",neutral
R1TJ3QGX95KOJ3," Surprisingly comfortable, exactly what I wanted",Trevor,5,25-Apr-20,"I have been the type of person that has been trying to find the right pillow for my needs for years. I've found that each pillow was too hard, too small, too short, gave me neck pains, etc. I was very surprised to find that these pillows work wonderfully for me, and have been the most comfortable pillows I have ever used. I have tried memory foam, both solid and shredded, bamboo, cotton, feather, and many variations of each, but I am extremely satisfied with these pillows. They're comfortable, fluffy without being too tall, and hold their shape without being too tough.

The info for these pillows says ""hypoallergenic"", which basically means that they are plastic or nylon outsides, which I found a bit deceptive based on the pictures and description but is nonetheless accurate. They appeared to be cloth outsides like similar ones I've seen, but are basically plastic covers. They come shrink wrapped and then tied with a ribbon which may create somewhat of a crease down the middle, but it seems to almost completely go away by the time you are ready to use it. It took a few hours to fluff up completely, but they do fluff up nicely, enough to sink into but still support the weight of your head. I do recommend these pillows.",positive
RS0WN0FZ2QO43, Sleep like a dream!,LauraKat,5,22-Feb-20,"I ordered these on a whim and am very pleased. I am a side sleeper who has had frequent neck kinks causing me not to be able to turn my head fully from one side to the other without sharp pain. After sleeping on these pillows for about a month my neck issues have greatly reduced. I do tend to root into my pillows so I flip them regularly and toss them into the dryer when they start going flat. I figured since that was how the manufacturer recommended to get them up to their full size after unpacking them, it would work and it does! They didn't have any noticable odor when I opened them and I have a sensitive sniffer. I will definitely order these again should the need arise.",positive
R1WGIMD3VT8KZC, Superior pillow,WJ,5,21-Jun-21,"These pillows are *chef's kiss*. My partner and I actually stayed at a hotel that had these pillows and were so surprised at how comfy they were, that I immediately looked them up once we got back home.

These are the real deal and super affordable. We'd both been looking for pillow replacements for a long time, but it was hard to narrow down (esp if you're buying online).

Honestly, I'd be surprised if this pillow DIDN'T work for most people. It's so comfy - we've both slept considerably and noticeably better on these pillows. I toss around at night and like to do a back-side-stomach routine, and this pillow is comfy regardless of postion.

Honestly if you're thinking about trying this pillow out, I'd say just do it. Chances are you'll love it, and if not, it's Amazon and returns are easy.",positive
RFMAPDIT5KTE9, This pillow lets me sleep again,M. Downes,5,20-Feb-21,"I lost my perfect pillow in a house fire four years ago. It wasn’t a special pillow. It was just old and comfy and perfectly suited to letting me enjoy a good night’s sleep. You don’t realize how precious that is until you’re waking up every morning feeling like the aliens had you drinking whiskey shots while running on a treadmill all night again.

I can’t say how many pillows I’ve been through in hopes of rediscovering that perfect comfort. It’s so individual. I tried down pillows, gel pillows, contoured pillows...a constellation of pillows. What have I learned?

Price doesn’t guarantee a better pillow. Neither do gimmicks.

I didn’t have high hopes for this pillow. Its price point doesn’t scream “Sleep like a baby!” Some of the bad reviews were a little scary. But I took a gamble, and dang if I didn’t finally luck out.

You get two pillows, and both arrive vacuum packed so let them fluff up for several hours before using them. They aren’t FIRM. if you’re looking for solid support from a pillow, move on. This is more like sinking your head into a pile of the softest cotton balls. It gives, but never feels like a rock. It isn’t at all lumpy. I’ve never felt the mattress through it.

Since using this pillow I’ve slept straight through the night and wake up feeling rested. So either the aliens have moved on to torture someone else...or I've finally found my pillow.

Now, I can’t tell you what to do. I’m not your mother. But I hope my experience helps someone else find their perfect night’s sleep.",positive
R2MD3F17ETLMSD, Slightly different than expected but still pretty nice overall,JustSomeRandomGuy,4,6-Nov-18,"The price point on these seems just a little high, but I'm not exactly disappointed with the purchase. I was expecting just a little more firmness and thickness to the pillows, but they are still rather comfortable, just not quite as much as I had hoped. It's definitely an upgrade from the worn out pillows I was using before, yet don't expect a lot of ""cushion"". They are probably about 2 to 4 inches more ""flat"" than I thought they would be, but they aren't ""bunchy"" like a feather pillow that can get ""saggy spots"", they have a ""nice and even texture"" which I like. The packaging suggests to leave them in direct sunlight for an extended period of time after unwrapping them from the vaccuum sealed bags they come in, which I did not do, but after using them for a few weeks I am glad I replaced what I was using before. Not too shabby.",positive
RNGIEV5XOFVQX," Updated review, 18 months later…. Don't get the complaints, really pleased with these pillows!!!",Working Mom,5,15-Oct-20,"18 month update: these pillows are incredible!!! We have been using them daily since Jan 2020 and they’re nearly as fluffy as the first day. The pic I included is from today, Aug 2021. These pillows are worth ordering!!!!
————————————
Original review: It seems like no matter how much I spend on pillows, they're flattened like pancakes after a couple months. These pillows have held up AWESOME for us. We use them every single night to sleep and still have all the thickness from day one. They are soft....because they're pillows....but they offer some substance, in my opinion. Would recommend and will buy again!",positive
R1FAG5ZH1VY17F, Really Disappointing,Jaqi,1,20-Apr-21,"EDIT: Note the bad reviews on these are mostly for the Kings, which again, as in my review below, seem to have a lot less filling than they should. It's like buying a mostly-empty can (containing very little product).

----------------------------------------------------------------------------------

I am truly disappointed in these. I was not expecting them to be as tall or as perfectly pictured as in the images displayed when purchasing them, but I figured they would still be quite a deal, especially in comparison to the prices of other 'trending' King-sized pillows on the market, which I find ridiculous. I waited for them with baited breath and upon receipt, glady fluffed them up as per the directions (both, the shaking method, and when that did not expand them enough, the dryer method). They remained pretty thin and again, nothing like pictured. Having been compressed and folded for shipment and prior to the fluffing-up attempts, they also had a fold crease toward the middle which did not seem to want to hold stuffing. Sleeping on them, is meh.

The problem, as I see it, is that the stuffing is either way too soft, or that they use the amount of stuffing-material needed for Standard-sized pillows in the Kings we ordered - and there is simply just NOT ENOUGH to go around inside the pillow. It feels 1/3 empty, if that makes any sense.

I happened to have ordered two sets (four pillows) and if we were to open the second set, I suppose we could each sleep on two each, but it just irks me a little that we'd need to do that instead of just having bought a pillow which looks and feels and performs as advertised.",negative
R3SN0MCGCE0K5I, Wow!*4 months later*updated two days later & 2 weeks laterThey’re loud*,Alaskan Mommy,1,26-Feb-21,"***4 months later: the short seam totally split all the way down the pillow. I have 8 pillows on my bed. These aren’t getting much use, I won’t buy them again, that’s for sure.*Updated again almost 2 weeks later. Knocked down to 3 stars. The noise these things make is ridiculous. Going pillow shopping tomorrow. ****update: these pillows are loud. They sound like they’re covered in plastic when you roll over or move round at all really. Removed a star for noise. Something I never thought I’d say about a pillow and it’s definetly enough to make me come back and update this review.*** Upon opening the box I was very surprised that these were the two pillows I ordered. The first photo is how they were folded in the package, about 5” thick. The second photo is unfolded to show how thin these are vacuum sealed. I thought for sure these were going to be a disappointment. Third photo shows one pillow less than 3 minutes after opening. The second to last last photo is one pillow stacked on top of the other after 5 minutes. I’m really impressed. They are not flimsy at all and seem like they will offer the perfect amount of support. No odd smells and they fluffed right up. I haven’t even put them in the dryer to do additional fluffing as I don’t think it will be necessary. Last photo is 10 minutes later!",negative
RW05KM0BM9K0, Crappy pillows anyone?,Amazon Customer,2,13-Feb-20,"I only gave these 1 star for correct size, 1 star for being the crappy type of pillow my husband mysteriously likes, and 1 star for coming in a timely manner (which I guess really should go to Amazon, not the pillow). They were kind of fluffy for the first day before sleeping on them. I don't recommend than for side sleepers. I have to sleep on my side to nurse my baby and it gave me neck aches in the few short days I used it. I don't recommend. Unless you are like my husband and like crappy pillows.",negative
RSBPLTCF9I4SD, Great for side sleepers,Black Nile,5,9-May-20,"Best side sleeper pillow! I needed new pillows and wanted a memory foam pillow. I decided to give online pillow shopping a try. My first experience was horrible. I’m a side sleeper and my pillows must me a certain way. I returned those pillows and started my second search. I was first attracted to the picture, then I saw 2 pack, then the price, I was sold! The product is actually like the picture. This pillow is great for a side sleeper. The pillows are not too firm and not too soft. There was no harsh smell to the pillows. After maintaining the pillows i started making my own fragrances and used a rose, red pomegranate fragrance. It was heaven! I can tuck the pillows under my neck for shoulder ease. I recommend for side sleepers.",positive
R1ATQU30KGMLAA, Good pillow for a side sleeper,little red hawk,4,5-Jul-20,"I bought this because my neck hurt and my research noted that a good pillow for side sleepers will support a high neck and shoulder. While I do not find it a good shoulder and neck pillow for myself (I'm 5'7"" with square shoulders), it provided great comfort and support to my husband when he sleeps on his side (""5'11"" barrel chest with slim shoulders). It has a thick firm construction with a full two inch gusset. It's too high for back sleeping as it causes snoring. It is a great pillow to sit up against when lounging in bed.",positive
R3IZVKA4PRT8D8, Thin. Filling feels horrible,Nephron86,1,30-Jul-18,"Pillows are not a good quality! Filling is all clumpy and feels like doll filling, pillow is thin. Returning",negative
